{key='FR,QX,001,140224.81c3f9de840132e0f1331a57691d92f7', nation='FR', taxCode='QX', percentOrFlatTag=Flat Tax, seqNo=140224, taxCarrier='WS', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='MT,UF,001,20000.dcd6d598571e7dedeaf192dff2c212a9', nation='MT', taxCode='UF', percentOrFlatTag=Flat Tax, seqNo=20000, taxCarrier='YY', taxAmount=15.84, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='RU,RI,001,240625.0d0fc232fbf9eb2e5ee961db4c24e179', nation='RU', taxCode='RI', percentOrFlatTag=Flat Tax, seqNo=240625, taxCarrier='YY', taxAmount=240, taxAmountCurrency='RUB', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='ES,JD,003,754375.4f75ef4cccf9ebd22a48aba9fa8609aa', nation='ES', taxCode='JD', percentOrFlatTag=Flat Tax, seqNo=754375, taxCarrier='YY', taxAmount=6.35, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='ST,CT,001,107500.ed8aa8df906a9f87075ae3a68c28f5a1', nation='ST', taxCode='CT', percentOrFlatTag=Flat Tax, seqNo=107500, taxCarrier='YY', taxAmount=4.00, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='UG,UG,001,105000.df2514bb1820f74a860e8838a1cf8249', nation='UG', taxCode='UG', percentOrFlatTag=Flat Tax, seqNo=105000, taxCarrier='YY', taxAmount=2000, taxAmountCurrency='UGX', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='ES,JD,003,1285000.71e2522ab88b00d5eceab0deb3cf6411', nation='ES', taxCode='JD', percentOrFlatTag=Flat Tax, seqNo=1285000, taxCarrier='YY', taxAmount=5.02, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='UA,YK,001,264843.ba4a2f1b13d53946e8ca044bf439eb79', nation='UA', taxCode='YK', percentOrFlatTag=Flat Tax, seqNo=264843, taxCarrier='YY', taxAmount=15.00, taxAmountCurrency='USD', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='ES,JD,003,1285000.39e2f40d1d5d7a1e45ea4b0872863478', nation='ES', taxCode='JD', percentOrFlatTag=Flat Tax, seqNo=1285000, taxCarrier='YY', taxAmount=4.89, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='BS,C9,009,96262.31ccb4706360407140ddba4a380fefa2', nation='BS', taxCode='C9', percentOrFlatTag=Percent Tax, seqNo=96262, taxCarrier='VS', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
