{key='KR,DA,001,7500.44b128e922491a434c925fe930f21827', nation='KR', taxCode='DA', percentOrFlatTag=Flat Tax, seqNo=7500, taxCarrier='OZ', taxAmount=2500, taxAmountCurrency='KRW', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='MX,MX,104,100000.e4c1eee57a1a2a9e46fb62f0b2953f2b', nation='MX', taxCode='MX', percentOrFlatTag=Percent Tax, seqNo=100000, taxCarrier='IB', taxAmount=null, taxAmountCurrency='null', taxPercent=16.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='MA,A9,101,100000.31a20ea51eed160b3e2a4078c7932e04', nation='MA', taxCode='A9', percentOrFlatTag=Flat Tax, seqNo=100000, taxCarrier='GF', taxAmount=300.00, taxAmountCurrency='MAD', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='PL,ND,001,118750.da4792b9380d15404d42d71bd3cd6150', nation='PL', taxCode='ND', percentOrFlatTag=Flat Tax, seqNo=118750, taxCarrier='YY', taxAmount=1.30, taxAmountCurrency='PLN', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='SY,FY,001,87512.33a535da8fdb1ffcf667cf4432b1e09b', nation='SY', taxCode='FY', percentOrFlatTag=Flat Tax, seqNo=87512, taxCarrier='5F', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='MY,D8,001,15660.a405201ba3d3fbb6dd049c298797ba05', nation='MY', taxCode='D8', percentOrFlatTag=Percent Tax, seqNo=15660, taxCarrier='YY', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='AZ,JB,001,25050.9461b2cdd728d9d9c1df1d4f02fa0960', nation='AZ', taxCode='JB', percentOrFlatTag=Flat Tax, seqNo=25050, taxCarrier='J2', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='GR,WP,001,787932.d7125362c540152f7eb3c2d344ad0fe2', nation='GR', taxCode='WP', percentOrFlatTag=Flat Tax, seqNo=787932, taxCarrier='YY', taxAmount=31.86, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='SB,SB,001,5000.ae518366ae4983ef036692656f9726e2', nation='SB', taxCode='SB', percentOrFlatTag=Flat Tax, seqNo=5000, taxCarrier='YY', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='CA,XG,105,100000.1cf1b47db976cddcac34b47f6c8ddce6', nation='CA', taxCode='XG', percentOrFlatTag=Percent Tax, seqNo=100000, taxCarrier='CX', taxAmount=null, taxAmountCurrency='null', taxPercent=5.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='AU,QR,002,140000.d7f859162e737ddbcf832e952dbfe609', nation='AU', taxCode='QR', percentOrFlatTag=Flat Tax, seqNo=140000, taxCarrier='YY', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='VE,AK,001,119682.4415524aa85023f2bf07a753f62e6837', nation='VE', taxCode='AK', percentOrFlatTag=Flat Tax, seqNo=119682, taxCarrier='9V', taxAmount=6.00, taxAmountCurrency='USD', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='MP,HZ,001,1940000.354593c7be1132c64fbb3f76fd998fd7', nation='MP', taxCode='HZ', percentOrFlatTag=Flat Tax, seqNo=1940000, taxCarrier='YY', taxAmount=7.00, taxAmountCurrency='USD', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='AU,QR,001,567343.a399140285b09be26451b684ade3d96a', nation='AU', taxCode='QR', percentOrFlatTag=Flat Tax, seqNo=567343, taxCarrier='YY', taxAmount=22.00, taxAmountCurrency='AUD', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='AU,QR,001,67500.c3ea017905ca79d419d4e41473032ed2', nation='AU', taxCode='QR', percentOrFlatTag=Flat Tax, seqNo=67500, taxCarrier='YY', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='AU,QR,001,567343.f9be2960268e9283e69e3bba254e31f9', nation='AU', taxCode='QR', percentOrFlatTag=Flat Tax, seqNo=567343, taxCarrier='YY', taxAmount=22.00, taxAmountCurrency='AUD', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='BZ,BZ,004,100000.a0061f4663602cd823318e013ab01257', nation='BZ', taxCode='BZ', percentOrFlatTag=Flat Tax, seqNo=100000, taxCarrier='YY', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='KZ,UJ,001,296875.0f6a76dcaaec4d3b04bf651820a65c16', nation='KZ', taxCode='UJ', percentOrFlatTag=Flat Tax, seqNo=296875, taxCarrier='YY', taxAmount=1541.00, taxAmountCurrency='KZT', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='AM,AM,001,52812.e0ced1e15228292f2bb8345b6021dcba', nation='AM', taxCode='AM', percentOrFlatTag=Flat Tax, seqNo=52812, taxCarrier='YY', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
