itin_validatingcarrier,OBL_originairportcode,OBL_destinationairportcode,OBL_flightNumber,OBL_departdate,OBL_departtime,OBL_arrivedate,OBL_arrivetime,IBL_originairportcode,IBL_destinationairportcode,IBL_flightnumber,IBL_departdate,IBL_departtime,IBL_arrivedate,IBL_arrivetime,itin_cabin,itin_bookingcode,itin_totalamount,taxbreakdown,yq_val,yr_val,itin_true_tax_amount
"LH","EWR","LHR","7630","20250506","2140","20250507","1010","LHR","EWR","7813","20250509","1800","20250509","2110","B","P","5214.91","USD:AY 5.60|US 45.80|XA 3.71|XF 4.50|XY 7.00|YC 7.20|GB 287.30|UB 68.80|YQ 2080.00|YR 25.00","2080.0","25.0","429.90999999999985"
"TK","EWR","IST","30","20250607","30","20250607","1715","IST","JFK","111","20250621","50","20250621","430","E","W","1357.81","USD:AY 5.60|US 45.80|XA 3.71|XF 4.50|XY 7.00|YC 7.20|M6 3.40|TR 22.60|YQ 24.00|YR 320.00","24.0","320.0","99.81"
"AC","EWR","YYZ","3258","20250527","1704","20250527","1900","YYZ","JFK","8552","20250603","755","20250603","939","E","G","199.14","USD:AY 5.60|US 8.25|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","89.14"
"AC","EWR","YYZ","1395","20250527","1100","20250527","1246","YYZ","LGA","8990","20250603","1325","20250603","1459","E","G","199.14","USD:AY 5.60|US 8.25|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","89.14"
"UA","LGA","YYZ","8239","20250527","1945","20250527","2127","YYZ","EWR","8266","20250603","2110","20250603","2249","E","G","259.34","USD:AY 5.60|US 12.45|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","93.34"
"UA","LGA","YYZ","8403","20250527","1550","20250527","1732","YYZ","EWR","3460","20250603","1800","20250603","1948","E","G","259.34","USD:AY 5.60|US 12.45|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","93.34"
"UA","LGA","YYZ","8233","20250527","1645","20250527","1825","YYZ","EWR","3435","20250603","730","20250603","904","E","G","259.34","USD:AY 5.60|US 12.45|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","93.34"
"UA","LGA","YYZ","8229","20250527","725","20250527","907","YYZ","JFK","6632","20250603","1320","20250603","1500","E","G","263.64","USD:AY 5.60|US 12.75|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","93.64"
"AC","LGA","YYZ","707","20250527","1030","20250527","1212","YYZ","JFK","8554","20250603","1320","20250603","1500","E","G","263.64","USD:AY 5.60|US 12.75|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","93.64"
"AC","LGA","YYZ","8997","20250527","1945","20250527","2127","YYZ","JFK","8552","20250603","755","20250603","939","E","G","263.64","USD:AY 5.60|US 12.75|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","93.64"
"AC","LGA","YYZ","8995","20250527","1910","20250527","2052","YYZ","JFK","8556","20250603","2055","20250603","2245","E","G","263.64","USD:AY 5.60|US 12.75|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","93.64"
"UA","LGA","YYZ","8469","20250527","830","20250527","1010","YYZ","LGA","8572","20250603","615","20250603","750","E","G","263.64","USD:AY 5.60|US 12.75|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","93.64"
"UA","LGA","YYZ","8227","20250527","600","20250527","740","YYZ","LGA","8680","20250603","1155","20250603","1329","E","G","263.64","USD:AY 5.60|US 12.75|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","93.64"
